YearMonth,StrategyReturn,MarketReturn,AvgStrategyReturn,AvgMarketReturn,VolatilityStrategy,VolatilityMarket,SharpeRatio,WinRate,TradingDays
2022-07,3.9571938405340346,4.0638800745799175,0.45019038427553065,0.46019038427553055,0.0371413163730085,0.03705256402999107,0.5554546027300022,60.0,10.0
2022-08,0.7180911215110664,-6.963547559225147,0.0477522485998841,-0.2971690729341959,0.018562951319040757,0.01829404984290317,0.11788443014923873,43.47826086956522,23.0
2022-09,-11.615227805042739,-11.615227805042739,-0.5675800320954186,-0.5675800320954186,0.019660175462952394,0.019660175462952394,-1.3229680807905306,38.095238095238095,21.0
2022-10,-1.1918446124043913,-1.1918446124043913,-0.014948168849015007,-0.014948168849015007,0.029360689532659853,0.029360689532659853,-0.02333089458794686,52.38095238095239,21.0
2022-11,6.856412668789336,6.856412668789336,0.3615831033602915,0.3615831033602915,0.03106372742564182,0.03106372742564182,0.5334137524648143,47.61904761904761,21.0
2022-12,-12.634909204211409,-12.634909204211409,-0.6268683771513335,-0.6268683771513335,0.01727336852848276,0.01727336852848276,-1.663064030813241,28.57142857142857,21.0
2023-01,17.41157118750005,12.025379775526734,0.8246002522283075,0.5900596219826276,0.01998642237625268,0.020950295123733014,1.8906800840983706,65.0,20.0
2023-02,-6.344989019700343,-8.883042396923669,-0.2950979854377019,-0.4398836419229446,0.03220930698985209,0.031996907052726335,-0.41985034205278166,47.368421052631575,19.0
2023-03,13.653069573526144,15.178776604887979,0.5763821665067923,0.6344694037867251,0.019671439114277336,0.019557973442608057,1.3427156457114398,65.21739130434783,23.0
2023-04,-12.214971920278161,3.4801819933228284,-0.6703226990216299,0.19494974896747733,0.016564683746192174,0.01771335642320528,-1.8544299157053659,31.57894736842105,19.0
2023-05,-9.875701086428334,14.468051924089732,-0.45590511068658707,0.6302556124554725,0.018074186653122548,0.01732716564057784,-1.1559135243729302,40.909090909090914,22.0
2023-06,2.1811796951086704,-2.579967225800295,0.1134805791349862,-0.1134805791349862,0.015053377227456788,0.015053377227456788,0.3454595842087711,47.61904761904761,21.0
2023-07,-10.586679335737525,10.877196856468817,-0.5374027550766514,0.5374027550766514,0.02059782632145761,0.02059782632145761,-1.1956061602728845,35.0,20.0
2023-08,-2.9642690958192164,2.5994552206197508,-0.12116283893822448,0.12116283893822448,0.014131859874974404,0.014131859874974404,-0.3928979524014437,43.47826086956522,23.0
2023-09,3.7286219325571412,-3.899535632071427,0.19088155499114579,-0.19088155499114579,0.012761910045563178,0.012761910045563178,0.6854218305839813,50.0,20.0
2023-10,4.070872573461726,-5.181108641994026,0.21032279025556166,-0.21032279025556166,0.025033560703156106,0.025033560703156106,0.38501119283399354,54.54545454545454,22.0
2023-11,-4.445859819880238,6.810119985024055,-0.20976194056713673,0.3205096165021198,0.011741733571438102,0.011487998708173984,-0.8186610305210668,38.095238095238095,21.0
2023-12,-5.603830436463997,5.402553131238719,-0.2754508586479737,0.2754508586479737,0.01605408152991987,0.01605408152991987,-0.7862638592201177,50.0,20.0
2024-01,-1.1434430072313595,0.29350969500732127,-0.03498465310657868,0.03498465310657868,0.020676782703483557,0.020676782703483557,-0.07753615411147045,42.857142857142854,21.0
2024-02,0.7052400759695043,-1.1705919547422616,0.0468508344187768,-0.0468508344187768,0.015795734908100708,0.015795734908100708,0.13592118147398213,35.0,20.0
2024-03,-8.76751281095135,9.006200633095872,-0.44479378881814907,0.44479378881814907,0.01642502927211105,0.01642502927211105,-1.2409726473768379,40.0,20.0
2024-04,-8.773617624381579,7.851326226162358,-0.3789024033236277,0.3789024033236277,0.027490165165949168,0.027490165165949168,-0.63162550452114,45.45454545454545,22.0
2024-05,-5.85435386514741,5.971250320466259,-0.26891796595903833,0.26891796595903833,0.010165638726740804,0.010165638726740804,-1.2122572598406214,27.27272727272727,22.0
2024-06,-5.528943917722639,5.594199362318841,-0.2928899049608352,0.2928899049608352,0.011254634447275348,0.011254634447275348,-1.1925666409328668,31.57894736842105,19.0
2024-07,4.87168319192588,-5.824870137423588,0.2321479112633105,-0.25645548495622505,0.01824889787501842,0.01816811940229712,0.5829586986983663,45.45454545454545,22.0
2024-08,1.1745755836004124,-4.756901433317228,0.06499008426630568,-0.209554859924177,0.015847535669087445,0.015597747552798004,0.18792952216087608,54.54545454545454,22.0
2024-09,-6.578877438314201,1.511813640544224,-0.3274582144559718,0.08810508889912305,0.01603814660923698,0.016470572025059856,-0.9356455525947863,35.0,20.0
2024-10,-5.824594356990875,3.171537115789147,-0.25320465539459086,0.14331421151610046,0.012394355740408255,0.01249386478547157,-0.9361757270513049,39.130434782608695,23.0
2024-11,0.25437839164783593,-1.2623480173139634,0.03052463561983632,-0.04556580188494641,0.0193971222241231,0.019394424784526017,0.0721145392974235,40.0,20.0
2024-12,-14.922154094395413,16.401306486203282,-1.4281772234317491,1.4190863143408399,0.025477496111795356,0.025472401823955746,-2.5688278798942985,36.36363636363637,11.0
