rmse,mae,mape,directional_accuracy,sharpe_ratio,window,start_date,end_date
5.727036115701181,5.075204025292969,4.583438284616524,55.00000000000001,0.7511436711000763,0,2022-06-15 00:00:00+00:00,2022-07-15 00:00:00+00:00
3.807797858459769,2.769319085425969,2.4810555193571266,60.0,2.11965842994842,1,2022-07-18 00:00:00+00:00,2022-08-15 00:00:00+00:00
5.188310424944287,4.360459096196056,4.004539943896831,60.0,-0.5816218766053715,2,2022-08-16 00:00:00+00:00,2022-09-14 00:00:00+00:00
13.250701175251143,13.076497022428388,13.18683229743535,60.0,-1.6178639455183175,3,2022-09-15 00:00:00+00:00,2022-10-13 00:00:00+00:00
13.131238961197859,11.567518688058035,12.698398501081085,35.0,0.25649060003602303,4,2022-10-14 00:00:00+00:00,2022-11-11 00:00:00+00:00
4.403164577502853,3.857492722306547,4.0250404421912895,45.0,0.1231306049702274,5,2022-11-14 00:00:00+00:00,2022-12-13 00:00:00+00:00
11.330672049914128,11.10386657699777,12.515631296070639,35.0,-1.1648790003504086,6,2022-12-14 00:00:00+00:00,2023-01-13 00:00:00+00:00
3.8701653802185496,2.8667402717875747,2.898098251627507,55.00000000000001,2.970203008117528,7,2023-01-17 00:00:00+00:00,2023-02-14 00:00:00+00:00
3.1520805409383437,2.7276785715913316,2.971910104642619,50.0,1.576533835145747,8,2023-02-15 00:00:00+00:00,2023-03-16 00:00:00+00:00
2.660441904925097,2.1365425501069577,2.0276054576249036,50.0,-4.376737083803566,9,2023-03-17 00:00:00+00:00,2023-04-17 00:00:00+00:00
2.990653516601956,2.241447800046502,2.0263526379271064,40.0,-2.314083447898063,10,2023-04-18 00:00:00+00:00,2023-05-16 00:00:00+00:00
9.32912437466634,9.192031134561013,7.425769534068434,30.0,-2.049761911758901,11,2023-05-17 00:00:00+00:00,2023-06-15 00:00:00+00:00
3.8589659613597402,3.35471598421689,2.747560343567702,65.0,-0.2169345394426786,12,2023-06-16 00:00:00+00:00,2023-07-18 00:00:00+00:00
9.318733587715474,8.460811799107143,6.51786393645658,60.0,-2.4239326141775863,13,2023-07-19 00:00:00+00:00,2023-08-16 00:00:00+00:00
10.522440640234835,9.96553294232701,7.3990080713949204,45.0,-3.7472151226825283,14,2023-08-17 00:00:00+00:00,2023-09-15 00:00:00+00:00
8.482950673933846,7.585093183612352,5.555626214060653,35.0,-0.4385792195467196,15,2023-09-18 00:00:00+00:00,2023-10-16 00:00:00+00:00
4.4484227939831085,3.778263629771207,2.8363550543528895,55.00000000000001,2.0061077692400455,16,2023-10-17 00:00:00+00:00,2023-11-14 00:00:00+00:00
4.04538708577258,3.4745810378999265,2.5611667265966096,50.0,0.8323365119259499,17,2023-11-15 00:00:00+00:00,2023-12-14 00:00:00+00:00
7.302994988420747,6.964522585379464,4.969226193766246,65.0,-4.716256044361027,18,2023-12-15 00:00:00+00:00,2024-01-17 00:00:00+00:00
12.21945419958205,11.670517695526414,7.917546095032988,40.0,0.019817017820982667,19,2024-01-18 00:00:00+00:00,2024-02-15 00:00:00+00:00
3.855504129094412,3.178349097544645,2.2603330518968954,45.0,-2.1372147257811136,20,2024-02-16 00:00:00+00:00,2024-03-18 00:00:00+00:00
12.885579786706323,12.472306031677828,8.107612599008238,50.0,-3.2572344311177166,21,2024-03-19 00:00:00+00:00,2024-04-17 00:00:00+00:00
19.55246057320029,18.604803899655877,11.13226353504738,30.0,-3.4852569273544725,22,2024-04-18 00:00:00+00:00,2024-05-16 00:00:00+00:00
15.244132241097619,15.162919554882814,8.63394815994179,40.0,-0.6231016667304478,23,2024-05-17 00:00:00+00:00,2024-06-17 00:00:00+00:00
15.997459500481845,15.35549127863653,8.302492519342294,40.0,-0.8959958056919287,24,2024-06-18 00:00:00+00:00,2024-07-18 00:00:00+00:00
4.009022852011061,3.544403083240327,2.1109607815168663,60.0,1.5597208712341208,25,2024-07-19 00:00:00+00:00,2024-08-16 00:00:00+00:00
3.043463693455503,2.269716535128348,1.4421068664508445,65.0,0.7116234653597173,26,2024-08-19 00:00:00+00:00,2024-09-17 00:00:00+00:00
2.519027782220952,2.183037896400668,1.3299649675034209,40.0,-8.374898956098665,27,2024-09-18 00:00:00+00:00,2024-10-16 00:00:00+00:00
3.7745731831584437,3.015742711793157,1.7375793668697608,50.0,-1.5769370231261697,28,2024-10-17 00:00:00+00:00,2024-11-14 00:00:00+00:00
8.330753687586347,5.714369273995539,3.086754221632963,55.00000000000001,-4.520094244726307,29,2024-11-15 00:00:00+00:00,2024-12-16 00:00:00+00:00
